   0 107 241 190 124  80 316  76 152 157 283 133 113 297 228 129 348 276 188 150
 107   0 148 137  88 127 336 183 134  95 254 180 101 234 175 176 265 199 182  67
 241 148   0 374 171 259 509 317 217 232 491 312 280 391 412 349 422 356 355 204
 190 137 374   0 202 234 222 192 248  42 117 287  79 107  38 121 152  86  68  70
 124  88 171 202   0  61 392 202  46 160 319 112 163 322 240 232 314 287 238 155
  80 127 259 234  61   0 386 141  72 167 351  55 157 331 272 226 362 296 232 164
 316 336 509 222 392 386   0 233 438 254 202 439 235 254 210 187 313 266 154 282
  76 183 317 192 202 141 233   0 213 188 272 193 131 302 233  98 344 289 177 216
 152 134 217 248  46  72 438 213   0 206 365  89 209 368 286 278 360 333 284 201
 157  95 232  42 160 167 254 188 206   0 159 220  57 149  80 132 193 127 100  28
 283 254 491 117 319 351 202 272 365 159   0 404 176 106  79 161 165 141  95 187
 133 180 312 287 112  55 439 193  89 220 404   0 210 384 325 279 415 349 285 217
 113 101 280  79 163 157 235 131 209  57 176 210   0 186 117  75 231 165  81  85
 297 234 391 107 322 331 254 302 368 149 106 384 186   0  69 191  59  35 125 167
 228 175 412  38 240 272 210 233 286  80  79 325 117  69   0 122 122  56  56 108
 129 176 349 121 232 226 187  98 278 132 161 279  75 191 122   0 244 178  66 160
 348 265 422 152 314 362 313 344 360 193 165 415 231  59 122 244   0  66 178 198
 276 199 356  86 287 296 266 289 333 127 141 349 165  35  56 178  66   0 112 132
 188 182 355  68 238 232 154 177 284 100  95 285  81 125  56  66 178 112   0 128
 150  67 204  70 155 164 282 216 201  28 187 217  85 167 108 160 198 132 128   0
